周一 第3-4节 | 大学语文(必修) | 1(周) | 一教213 | 盖琳
周一 第3-4节 | 大学物理(必修) | 10,12-13(周) | 二教303 | 马凤翔
周一 第3-4节 | 大学化学(必修) | 15-17(周) | 二教207 | 冉红涛
周一 第5节 | 大学语文(必修) | 1(周) | 一教213 | 盖琳
周一 第5节 | 大学物理(必修) | 10,12-13(周) | 二教303 | 马凤翔
周一 第5节 | 大学化学(必修) | 15-17(周) | 二教207 | 冉红涛
周一 第10-12节 | 大学物理(必修) | 15(周) | 二教301 | 马凤翔
周二 第1-2节 | 大学化学(必修) | 16(周) | 二教306 | 冉红涛
周二 第3-4节 | 高等数学(必修) | 1-8,10-14(周) | 二教601 | 杨晓霞
周二 第3-4节 | 高等数学(必修) | 15(周) | 二教302 | 杨晓霞
周二 第6-7节 | 中国特色社会主义理论体系(必修) | 1-8(周) | 一教408 | 高兴武
周二 第6-7节 | 思想道德修养与法律基础(必修) | 10-16(周) | 一教408 | 曲鹏芳
周二 第8-9节 | 常见植物识别(必修) | 5-8,10-11,13-17(周) | 一教105 | 张曼
周二 第10-12节 | 大学化学(必修) | 11-13(周) | 二教307 | 冉红涛
周三 第3-4节 | 大学语文(必修) | 1(周) | 一教308 | 盖琳
周三 第3-4节 | 大学物理(必修) | 10-13(周) | 一教301 | 马凤翔
周三 第3-4节 | 大学物理(必修) | 15(周) | 一教301 | 马凤翔
周三 第5节 | 大学语文(必修) | 1(周) | 一教308 | 盖琳
周三 第5节 | 大学物理(必修) | 10-13(周) | 一教301 | 马凤翔
周三 第10-12节 | 形势与政策(必修) | 3-8,10(周) | 一教408 | 郄汀洁
周三 第10-12节 | 大学语文(必修) | 9(周) | 一教316 | 盖琳
周三 第10-12节 | 大学物理(必修) | 15(周) | 一教301 | 马凤翔
周四 第1-2节 | 大学化学(必修) | 11-13,15-17(周) | 二教307 | 冉红涛
周四 第3-4节 | 大学英语(必修) | 2-5(周) | 一教201 | 卢晓敏
周四 第3-4节 | 大学英语(必修) | 6(周) | 一教205 | 卢晓敏
周四 第3-4节 | 大学英语(必修) | 7-15(周) | 一教201 | 卢晓敏
周四 第3-4节 | 大学英语(必修) | 17(周) | 一教205 | 卢晓敏
周四 第5节 | 大学英语(必修) | 2-5(周) | 一教201 | 卢晓敏
周四 第5节 | 大学英语(必修) | 6(周) | 一教205 | 卢晓敏
周四 第5节 | 大学英语(必修) | 7-15(周) | 一教201 | 卢晓敏
周四 第5节 | 大学英语(必修) | 17(周) | 一教205 | 卢晓敏
周四 第6-7节 | 心理健康教育(必修) | 7-8(周) | 一教421 | 王宏霞
周四 第6-7节 | 常见植物识别(必修) | 11(周) | 张曼
周四 第8-9节 | 中国特色社会主义理论体系(必修) | 1-8(周) | 一教408 | 高兴武
周四 第8-9节 | 思想道德修养与法律基础(必修) | 9-15(周) | 一教408 | 曲鹏芳
周四 第10-12节 | 大学语文(必修) | 6-8(周) | 一教316 | 盖琳
周四 第10-12节 | 形势与政策(必修) | 10(周) | 一教112 | 郄汀洁
周四 第10-12节 | 大学物理(必修) | 11(周) | 二教302 | 马凤翔
周五 第1-2节 | 形势与政策(必修) | 18(周) | 郄汀洁
周五 第3-4节 | 高等数学(必修) | 1-2,4-6,10-14(周) | 二教501 | 杨晓霞
周五 第3-4节 | 思想道德修养与法律基础(必修) | 9(周) | 一教314 | 曲鹏芳
周五 第3-4节 | 形势与政策(必修) | 18(周) | 郄汀洁
周五 第6-7节 | 体育武术（男女刘）(必修) | 1-6,9-14,16(周) | 看台310 | 刘东
周五 第8-9节 | 心理健康教育(必修) | 1-6(周) | 一教213 | 王宏霞
周五 第8-9节 | 形势与政策(必修) | 12(周) | 一教105 | 郄汀洁
周五 第10-12节 | 大学语文(必修) | 1-2(周) | 一教412 | 盖琳
周五 第10-11节 | 形势与政策(必修) | 12(周) | 一教308 | 郄汀洁
